Filter,Seed,Shift Consistency (Binary Agreement),Shift Consistency (Chord Distance),Top-1 Accuracy (%),Top-5 Accuracy (%),Latency (ms),mCE (%)
None (Baseline),1,60.0220,0.5491,48.8100,72.2300,1.624,
None (Baseline),2,59.9140,0.5487,48.6900,72.6000,1.622,
None (Baseline),3,60.0600,0.5480,48.7600,72.4000,1.626,
None (Baseline),4,59.2880,0.5566,48.0800,71.8100,1.626,
None (Baseline),5,60.1340,0.5476,48.2200,72.7000,1.626,
BlurPool3,1,,,,,,
BlurPool3,2,,,,,,
BlurPool3,3,,,,,,
BlurPool3,4,,,,,,
BlurPool3,5,,,,,,
BlurPool5,1,,,,,,
BlurPool5,2,,,,,,
BlurPool5,3,,,,,,
BlurPool5,4,,,,,,
BlurPool5,5,,,,,,
BlurPool7,1,,,,,,
BlurPool7,2,,,,,,
BlurPool7,3,,,,,,
BlurPool7,4,,,,,,
BlurPool7,5,,,,,,
WaveCNet-Haar,1,,,,,,
WaveCNet-Haar,2,,,,,,
WaveCNet-Haar,3,,,,,,
WaveCNet-Haar,4,,,,,,
WaveCNet-Haar,5,,,,,,
WaveCNet-DB2,1,,,,,,
WaveCNet-DB2,2,,,,,,
WaveCNet-DB2,3,,,,,,
WaveCNet-DB2,4,,,,,,
WaveCNet-DB2,5,,,,,,
WaveCNet-DB3,1,,,,,,
WaveCNet-DB3,2,,,,,,
WaveCNet-DB3,3,,,,,,
WaveCNet-DB3,4,,,,,,
WaveCNet-DB3,5,,,,,,
WaveCNet-DB4,1,,,,,,
WaveCNet-DB4,2,,,,,,
WaveCNet-DB4,3,,,,,,
WaveCNet-DB4,4,,,,,,
WaveCNet-DB4,5,,,,,,
WaveCNet-BIOR2.2,1,,,,,,
WaveCNet-BIOR2.2,2,,,,,,
WaveCNet-BIOR2.2,3,,,,,,
WaveCNet-BIOR2.2,4,,,,,,
WaveCNet-BIOR2.2,5,,,,,,
WaveCNet-BIOR3.3,1,,,,,,
WaveCNet-BIOR3.3,2,,,,,,
WaveCNet-BIOR3.3,3,,,,,,
WaveCNet-BIOR3.3,4,,,,,,
WaveCNet-BIOR3.3,5,,,,,,
WaveCNet-BIOR4.4,1,,,,,,
WaveCNet-BIOR4.4,2,,,,,,
WaveCNet-BIOR4.4,3,,,,,,
WaveCNet-BIOR4.4,4,,,,,,
WaveCNet-BIOR4.4,5,,,,,,
DABPool3,1,,,,,,
DABPool3,2,,,,,,
DABPool3,3,,,,,,
DABPool3,4,,,,,,
DABPool3,5,,,,,,
DABPool5,1,,,,,,
DABPool5,2,,,,,,
DABPool5,3,,,,,,
DABPool5,4,,,,,,
DABPool5,5,,,,,,
DABPool7,1,,,,,,
DABPool7,2,,,,,,
DABPool7,3,,,,,,
DABPool7,4,,,,,,
DABPool7,5,,,,,,
PASA_Filter3_Group4,1,,,,,,
PASA_Filter3_Group4,2,,,,,,
PASA_Filter3_Group4,3,,,,,,
PASA_Filter3_Group4,4,,,,,,
PASA_Filter3_Group4,5,,,,,,
PASA_Filter3_Group8,1,,,,,,
PASA_Filter3_Group8,2,,,,,,
PASA_Filter3_Group8,3,,,,,,
PASA_Filter3_Group8,4,,,,,,
PASA_Filter3_Group8,5,,,,,,
PASA_Filter3_Group12,2,,,,,,
PASA_Filter3_Group12,3,,,,,,
PASA_Filter3_Group12,4,,,,,,
PASA_Filter3_Group12,5,,,,,,
